image,n_ground_truth,n_predicted,n_false_negative,n_false_positive
aug_aug_0_B-164-_jpg.rf.cd1e34db31758c2758de3a55c81efa1f_orig.jpg,1,2,0,1
aug_aug_0_B-24-_jpg.rf.4b22c828b87c71580ecdf6bd07ca390c_contrast.jpg,1,3,0,2
aug_aug_0_B-55-_jpg.rf.7eea05f5aa94141070fcf7068c07c3d3_flip.jpg,1,2,0,1
aug_aug_0_B-80-_jpg.rf.9f147081aabcb83caad5c195a8bb0f6b_flip.jpg,1,2,0,1
aug_aug_0_C-133-_jpg.rf.5aa30b9982b26dad8f25591ed8c13916_flip.jpg,1,2,0,1
aug_aug_0_C-166-_jpg.rf.dac4ee653361ef1b99c5b36c86318201_bright.jpg,1,2,0,1
aug_aug_0_C-42-_jpg.rf.2af04a25f2f58f3e8c2968e5a0db9a26_orig.jpg,1,2,0,1
aug_aug_0_C-61-_jpg.rf.b98ec93b28829f74a72135fd97158757_bright.jpg,1,3,0,2
aug_aug_0_H-174-_jpg.rf.57a756cfc886951a5d4988810640c55f_contrast.jpg,1,3,0,2
aug_aug_0_H-29-_jpg.rf.990614c58e9546ca1803b8c1a3927950_flip.jpg,1,2,0,1
aug_aug_0_N-100-_jpg.rf.42eb38437a3f203e84e727c3b2759f20_bright.jpg,1,2,0,1
aug_aug_0_RF-157-_jpg.rf.ff55df818644ad9ffdd2e2c1f612154b_bright.jpg,1,2,0,1
aug_aug_0_RF-157-_jpg.rf.ff55df818644ad9ffdd2e2c1f612154b_orig.jpg,1,3,0,2
aug_aug_0_RF-176-_jpg.rf.9d6b7d572e4457865326fdb0e9185d25_orig.jpg,1,2,0,1
aug_aug_0_S-106-_jpg.rf.77809ef24e7d8d729be5079ac41bfdb3_bright.jpg,1,7,0,6
aug_aug_0_S-191-_jpg.rf.8fb270baff5bfe4551795274b5b2ec80_contrast.jpg,1,6,0,5
aug_aug_0_S-199-_jpg.rf.870dc6f3d753313a39d77295e0450a0a_bright.jpg,1,29,0,28
aug_aug_0_S-4-_jpg.rf.49ed5c3ee804554ef781a1706944fa39_bright.jpg,1,3,0,2
aug_aug_0_S-55-_jpg.rf.4eccde0dc505a360e8d0773546797421_bright.jpg,1,10,0,9
aug_aug_0_S-92-_jpg.rf.1a11aa49f8b4424cec4d9276c9f8ae30_bright.jpg,1,3,0,2
aug_aug_1_10_S-94-_jpg.rf.5c7588c9b845d231b9ec8921e78470cd_orig.jpg,1,2,0,1
aug_aug_1_295_S-96-_jpg.rf.ece273171bbaf2556d4af47b92ca98d6_contrast.jpg,1,7,0,6
aug_aug_1_371_N-91-_jpg.rf.c50f717f81190a11c93a3d6bc71c02f1_orig.jpg,1,2,0,1
aug_aug_1_374_S-160-_jpg.rf.1f212cc4dc776b566475780fb646c82d_contrast.jpg,1,2,0,1
aug_aug_1_399_S-90-_jpg.rf.ccc69ec5d9834091a17a39d6c08903a1_bright.jpg,2,6,0,4
aug_aug_1_415_aug_0_S-154-_jpg.rf.ac62497d3c91d17332c8ac5261ea6ab2_bright.jpg,1,3,0,2
aug_aug_1_472_S-94-_jpg.rf.5c7588c9b845d231b9ec8921e78470cd_orig.jpg,1,2,0,1
aug_aug_1_518_S-94-_jpg.rf.5c7588c9b845d231b9ec8921e78470cd_orig.jpg,1,2,0,1
aug_aug_1_631_S-94-_jpg.rf.5c7588c9b845d231b9ec8921e78470cd_orig.jpg,1,2,0,1
aug_aug_1_747_aug_1_N-123-_jpg.rf.c56490ddbc362726f8a31bfb23d58b71_bright.jpg,1,2,0,1
aug_aug_1_B-1-_jpg.rf.83233c819fbf2622ddad54a89481e60f_bright.jpg,1,4,0,3
aug_aug_1_B-130-_jpg.rf.af8a204401ca5706209c442b64d50cce_contrast.jpg,1,2,0,1
aug_aug_1_B-158-_jpg.rf.d6f219ed5d9a823e9a52e6311e9d430b_flip.jpg,1,2,0,1
aug_aug_1_B-164-_jpg.rf.cd1e34db31758c2758de3a55c81efa1f_orig.jpg,1,7,0,6
aug_aug_1_B-34-_jpg.rf.42b61cb9118d644700fe1421b4bda7ea_flip.jpg,1,2,0,1
aug_aug_1_B-38-_jpg.rf.5116c618f0ac370eac9f4bf212aa37e5_contrast.jpg,1,2,0,1
aug_aug_1_B-42-_jpg.rf.8e6bd30b042af65b999b7ba3fd91ab21_bright.jpg,1,2,0,1
aug_aug_1_C-165-_jpg.rf.64fcd36cad0521202605b6963917cbf6_orig.jpg,1,2,0,1
aug_aug_1_C-61-_jpg.rf.b98ec93b28829f74a72135fd97158757_bright.jpg,1,3,0,2
aug_aug_1_H-142-_jpg.rf.8fb7041a3d9c175348f28b92e55b0c3a_contrast.jpg,1,6,0,5
aug_aug_1_RF-192-_jpg.rf.c7e7077bd43b844ddc48fec8de24d6b7_contrast.jpg,1,3,0,2
aug_aug_1_RF-88-_jpg.rf.4179da37a8dd5fc06b31cddc3a79894e_contrast.jpg,1,5,0,4
aug_aug_1_S-101-_jpg.rf.2770e49e2aafae0f084721c83aedaf55_bright.jpg,3,13,0,10
aug_aug_1_S-160-_jpg.rf.1f212cc4dc776b566475780fb646c82d_contrast.jpg,1,2,0,1
aug_aug_1_S-160-_jpg.rf.1f212cc4dc776b566475780fb646c82d_flip.jpg,1,3,0,2
aug_aug_1_S-199-_jpg.rf.870dc6f3d753313a39d77295e0450a0a_flip.jpg,1,23,0,22
aug_aug_1_S-34-_jpg.rf.474ea199eaa21855a84d113e154a7d24_bright.jpg,1,4,0,3
