image,milliseconds
aug_aug_1_i16_jpg.rf.9829d43f326f55f32a60a391daa27045_contrast.jpg,58.486072997766314
aug_aug_0_i34_jpg.rf.3438eeadf0a6451940b964f1d281e888_contrast.jpg,68.06158899780712
aug_aug_0_S-61-_jpg.rf.c95f903a6fdca6de39884a1647e96ad8_flip.jpg,13.267551999888383
aug_aug_1_B-61-_jpg.rf.37a76f592a8fac2fdacbeecd6b8817b5_bright.jpg,11.984795000898885
aug_RF-104-_jpg.rf.9a8cbb97c718abbd4339c361993e79a6_flip.jpg,12.760288998833857
extra_aug_1_S-125-_jpg.rf.e73537d3a9556872126533b3b9ba1336_contrast.jpg,12.891212998511037
extra_aug_0_N-14-_jpg.rf.622d2fe73793ecf2e11b174a78c30380_contrast.jpg,14.575771001545945
extra_aug_1_205_N-10-_jpg.rf.e0813b74d03f4b58f7d55a8b63cb0c59_orig.jpg,13.436855999316322
extra_aug_1_273_i2_jpg.rf.7c18c9b47c7e61a7f08e36d2ea035ae9_orig.jpg,79.52042399847414
extra_N-141-_jpg.rf.ca164ff4ff3694f037b34d16647108c1_orig.jpg,13.882109000405762
aug_aug_1_162_aug_0_H-35-_jpg.rf.1b4fa0d1d7f315766a28e564c3a8df4f_contrast.jpg,12.701461000688141
aug_1_B-36-_jpg.rf.616b5fbafbbd9d145cc6a5533b5ada40.jpg,13.36270500178216
extra_aug_1_H-45-_jpg.rf.c3e4d145b180c41731eae0e28eca4b31_bright.jpg,12.97825300207478
extra_aug_1_240_aug_1_N-63-_jpg.rf.24803042cf35342854fd522a1bad3ddc_contrast.jpg,12.813337998522911
aug_aug_1_442_aug_1_N-68-_jpg.rf.193f4f48dc12a3eda0d3e0d3cdbf74d6_orig.jpg,13.836526002705796
aug_aug_1_412_aug_0_N-32-_jpg.rf.ac4a3b53c1157f6124dff62571f68fe2_flip.jpg,13.443192998238374
aug_aug_1_B-99-_jpg.rf.ff5e7bb8fcc03292c70467c1379e2ef2_flip.jpg,13.719470000069123
aug_aug_1_690_aug_1_S-164-_jpg.rf.546605e233982b00946573d602eec202_orig.jpg,14.200124998751562
aug_H-102-_jpg.rf.4d4cfaca8a574c5ccfd27371b160a00c_bright.jpg,13.257238002552185
aug_aug_1_588_N-41-_jpg.rf.9b88197b61f326daf265b64ca6c131e1_contrast.jpg,12.883393999800319
extra_N-31-_jpg.rf.b60a757425e79b3b6c3cb7b4226bccd1_flip.jpg,13.455790001899004
extra_C-136-_jpg.rf.ed92909287a5b63925e50cb66c691d98_flip.jpg,13.04224499835982
aug_aug_1_N-25-_jpg.rf.b5722abdf91d51983615db203ea6acf9_contrast.jpg,12.942923996888567
extra_aug_1_RF-137-_jpg.rf.2ceefcd70067836a653cebd478377d77_flip.jpg,12.89178699880722
aug_N-135-_jpg.rf.98bb3ae4c63359207214e06e092a5cc0_contrast.jpg,13.004090997128515
aug_aug_1_702_aug_1_H-56-_jpg.rf.f5541cb5a06fe09f63e2c8cb412c43c4_bright.jpg,12.877742999990005
aug_aug_1_N-96-_jpg.rf.29a00a389c2c0c108521bb39913c9dea_orig.jpg,14.02433499970357
extra_aug_1_661_C-26-_jpg.rf.9dfb8920eb1688d596a4f0f23b5c1a28_bright.jpg,12.758775999827776
extra_aug_1_424_N-55-_jpg.rf.e55f9970515afed7e652950407663da2_contrast.jpg,12.849725997511996
extra_aug_1_RF-13-_jpg.rf.e46e613d06b28127b21f040872bf11e5_flip.jpg,13.607893000880722
extra_RF-34-_jpg.rf.bb0fad312a2e00cd1b6f354769cdd56d_flip.jpg,12.549525999929756
extra_aug_1_RF-77-_jpg.rf.c5268c1a96f221fc4e366d98177a4df6_flip.jpg,12.69076799871982
aug_aug_1_586_aug_0_B-91-_jpg.rf.5d7f6e0cd89da8828fa2d40f00d0b189_orig.jpg,12.559210001199972
aug_aug_1_S-110-_jpg.rf.0d58c08fc6e6d5019c5db88d3026d571_contrast.jpg,12.626053998246789
