epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8778.34,0.3974,0.46053,1.11042,0.98187,0.98503,0.99018,0.93871,0.33962,0.29573,0.75567,0.007228,0.007228,0.007228
44,8982.74,0.39992,0.46096,1.10968,0.98035,0.98358,0.98927,0.9382,0.34347,0.30083,0.76288,0.007162,0.007162,0.007162
45,9185.96,0.38997,0.44606,1.10173,0.98024,0.98403,0.99006,0.938,0.34618,0.29461,0.76895,0.007096,0.007096,0.007096
46,9390.6,0.38759,0.44586,1.09787,0.98115,0.98241,0.98998,0.93996,0.34465,0.28802,0.7706,0.00703,0.00703,0.00703
47,9595.31,0.38027,0.44331,1.09149,0.98,0.98503,0.99105,0.94358,0.33663,0.28141,0.75977,0.006964,0.006964,0.006964
48,9799.75,0.37839,0.43798,1.09153,0.97873,0.98392,0.99054,0.94378,0.33017,0.28101,0.75531,0.006898,0.006898,0.006898
49,10004,0.37592,0.43183,1.08862,0.98017,0.98154,0.991,0.9456,0.33006,0.28033,0.75581,0.006832,0.006832,0.006832
50,10208.8,0.36934,0.42412,1.08012,0.97987,0.98438,0.9909,0.94622,0.32852,0.28091,0.75498,0.006766,0.006766,0.006766
51,10414.5,0.3703,0.42485,1.08542,0.97934,0.98258,0.99136,0.9467,0.32509,0.27762,0.75058,0.0067,0.0067,0.0067
52,10619.1,0.36603,0.42275,1.08032,0.98074,0.98324,0.99157,0.94762,0.32174,0.28159,0.74544,0.006634,0.006634,0.006634
53,10823.6,0.36249,0.41358,1.07811,0.98365,0.98229,0.99162,0.9477,0.31214,0.27913,0.7333,0.006568,0.006568,0.006568
54,11028.4,0.35786,0.40912,1.07462,0.98074,0.9822,0.99067,0.95082,0.30638,0.27922,0.72748,0.006502,0.006502,0.006502
55,11233.8,0.35164,0.40567,1.06696,0.98338,0.98242,0.9907,0.95094,0.30535,0.27801,0.72588,0.006436,0.006436,0.006436
56,11437.2,0.35493,0.4088,1.07149,0.98397,0.98453,0.991,0.9514,0.30751,0.27837,0.7327,0.00637,0.00637,0.00637
57,11642.1,0.34951,0.39562,1.06626,0.98231,0.98633,0.99114,0.95147,0.30621,0.27689,0.73045,0.006304,0.006304,0.006304
58,11842.2,nan,nan,nan,0.98602,0.96733,0.97499,0.93887,nan,nan,nan,0.006238,0.006238,0.006238
59,12038.8,nan,nan,nan,0.98329,0.96935,0.9746,0.93548,nan,nan,nan,0.006172,0.006172,0.006172
60,12424,0.377,0.3825,1.05077,0.98329,0.96937,0.97458,0.93577,0.32176,0.34252,0.73991,0.006106,0.006106,0.006106
